"Director_Name","Language","Language_Fullname"
"Gary Ross","en","English"
"Leslie H. Martinson","en","English"
"Ken Finkleman","en","English"
"Daniel Myrick","en","English"
"Tommy Lee Wallace","en","English"
"Hideo Nakata","ja","Japanese"
"Leopold Grün","de","German"
"Wang Quan'an","zh","Chinese"
"Dušan Milić","en","English"
"Robert Lieberman","en","English"
"Raffaele Mertes","en","English"
"Atiq Rahimi","fa","Persian"
"Ermanno Olmi","it","Italian"
"Emilio Martínez Lázaro","es","Spanish; Castilian"
"Régis Wargnier","fr","French"
"Robert Markowitz","en","English"
"William Karel","en","English"
"Mart Dominicus","nl","Dutch; Flemish"
"John Herzfeld","en","English"
"Paul Driessen","en","English"
"Fons Rademakers","nl","Dutch; Flemish"
"Alex van Warmerdam","nl","Dutch; Flemish"
"Alexander Payne","en","English"
"Stephan Elliott","en","English"
"Jean van de Velde","nl","Dutch; Flemish"
"Leos Carax","en","English"
"Shari Springer Berman","en","English"
"Paul Flaherty","en","English"
"David Twohy","en","English"
"Ben Stiller","en","English"
"Peter Chung","en","English"
"Pier Giuseppe Murgia","en","English"
"Jean-Christophe Averty","fr","French"
"Lina Wertmüller","it","Italian"
"Ingo J. Biermann","en","English"
"Peter Zadek","de","German"
"Claude de Givray","en","English"
"David Zucker","en","English"
"Julio D. Wallovits","en","English"
"Andre Schneider","en","English"
"Antonin Svoboda","de","German"
"Éric Rohmer","fr","French"
"Claude Berri","fr","French"
"John Appel","en","English"
"Michael Rymer","en","English"
"Herrmann Zschoche","de","German"
"Robert Duvall","en","English"
"Takashi Miike","ja","Japanese"
"Alain Chabat","fr","French"
"Rand Ravich","en","English"
"Saâd Chraïbi","en","English"
"Horst Seemann","de","German"
"Colin Teague","en","English"
"Arthur Maria Rabenalt","de","German"
"Theo van Gogh","nl","Dutch; Flemish"
"Michael Radford","en","English"
"Hugh Wilson","en","English"
"Ken Kwapis","en","English"
"Rod Hardy","en","English"
"Julian Jarrold","en","English"
"Hank Braxtan","en","English"
"Timothy Bond","en","English"
"George Montgomery","en","English"
"Manuel Mur Oti","es","Spanish; Castilian"
"Lucio Fulci","it","Italian"
"Mario Bava","it","Italian"
