"Director_Name","Language","Language_Fullname"
"Khaled Youssef","ar","Arabic"
"Dondon S. Santos","en","English"
"Jeff Gittle","en","English"
"Pasquale Scimeca","it","Italian"
"Gerardine Wurzburg","en","English"
"Guido Chiesa","it","Italian"
"Puttipong Pormsaka Na-Sakonnakorn","th","Thai"
"Willem Wallyn","en","English"
"Syamsul Yusof","en","English"
"Sven Halfar","de","German"
"Lee Isaac Chung","en","English"
"Charles de Lauzirika","en","English"
"Stan Brakhage","en","English"
"Ian Dalrymple","en","English"
"Jacob Kornbluth","en","English"
"Charles Randolph-Wright","en","English"
"Juan Carlos Rulfo","en","English"
"Valerio Jalongo","en","English"
"Salma Hayek","en","English"
"Armyan Bernstein","en","English"
"Richard Roy","en","English"
"Morgan O'Neill","en","English"
"Fyodor Popov","en","English"
"Andrew Stevens","en","English"
"Djinn","en","English"
"Nicolas Alberny","en","English"
"Su Rynard","en","English"
"Bogdan George Apetri","en","English"
"Winston Hibler","en","English"
"Kirill Kuzin","ru","Russian"
"Topel Lee","en","English"
"Leslie Cockburn","en","English"
"Kathryn Millard","en","English"
"Mac Alejandre","en","English"
"Antonio Bocola","it","Italian"
"Luciano De Crescenzo","it","Italian"
"Mark Meily","en","English"
"Dominique Cabrera","fr","French"
"Harry Falk","en","English"
"Robert Child","en","English"
"Joven Tan","en","English"
"Cristiano Bortone","it","Italian"
"João Jardim","pt","Portuguese"
"Gianni Franciolini","it","Italian"
"Ousama Rawi","en","English"
"Andrea Frazzi","it","Italian"
"Richard Legaspi","en","English"
"Jose Javier Reyes","en","English"
"Veronica Velasco","tl","Tagalog"
"Chris Martinez","en","English"
"Mark Jonathan Harris","en","English"
"Brendan Donovan","en","English"
"Roberto Cimpanelli","it","Italian"
"Fabio Tagliavia","it","Italian"
"Daniele Vicari","it","Italian"
"Alessandro Capone","en","English"
"Allen Hughes","en","English"
"Michel Houellebecq","fr","French"
"Ward Kimball","en","English"
"Lisa Langseth","sv","Swedish"
"Sebastian Grobler","de","German"
"Edoardo Winspeare","it","Italian"
"Paolo Franchi","it","Italian"
"Nino Manfredi","it","Italian"
"Mauro Bolognini","it","Italian"
"Roberto Berliner","pt","Portuguese"
"Jean Brismée","en","English"
"Shirley Clarke","en","English"
"Marcus Baldini","pt","Portuguese"
"Quark Henares","en","English"
"Robert McCaskill","en","English"
"Audrey Estrougo","en","English"
"Robert Barry Ptolemy","en","English"
"Arne Toonen","nl","Dutch; Flemish"
"Leonard Retel Helmrich","en","English"
"Anthony Wonke","en","English"
"Nikolay Khomeriki","ru","Russian"
"Mani Maserrat Agah","sv","Swedish"
"Arild Andresen","no","Norwegian"
"Fernando Cerchio","it","Italian"
"Nicola Barnaba","it","Italian"
"Hans-Jürgen Syberberg","de","German"
"Michael Goldbach","en","English"
"Susanna Nicchiarelli","it","Italian"
"Piergiorgio Gay","it","Italian"
"Kevin Bacon","en","English"
"Jonathan Kahn","en","English"
"John G. Young","en","English"
"Jennifer Arnold","en","English"
"Robert Angelo","en","English"
"Joshua Weigel","it","Italian"
"Tomorowo Taguchi","ja","Japanese"
"Vito Zagarrio","it","Italian"
"Gustav Hofer","it","Italian"
"Roberto Andò","it","Italian"
"Shaun Tan","en","English"
"Branco Mello","en","English"
"Christian De Sica","it","Italian"
"Giacomo Ciarrapico","it","Italian"
"Ascanio Celestini","it","Italian"
"Benedek Fliegauf","hu","Hungarian"
"Francesco Munzi","it","Italian"
"Piotr Matwiejczyk","pl","Polish"
"Jacobo Rispa","es","Spanish; Castilian"
"Rupert Sanders","en","English"
"Gilles de Maistre","fr","French"
"Scott Floyd Lochmus","en","English"
"Robert Cappelletto","en","English"
"Daniel Kleinman","en","English"
"Leonardo Ricagni","en","English"
"Krzysztof Lang","pl","Polish"
"Eric Quizon","en","English"
"Francesco Ranieri Martinotti","it","Italian"
"Cesar Evangelista Buendia","en","English"
"Neal 'Buboy' Tan","en","English"
"Edward Boase","en","English"
"Rico Gutierrez","en","English"
"Jun Lana","en","English"
"Rico Maria Ilarde","en","English"
"Michael Tuviera","en","English"
"Wuershan","zh","Chinese"
"Stefan Schneider","de","German"
"James Hong","en","English"
"Evan Glodell","en","English"
"Andrew Hull","en","English"
"Philippe Gagnon","en","English"
"Chris Chan Lee","en","English"
"Cristobal Krusen","en","English"
"Keith Parmer","en","English"
"Alessandro Blasetti","it","Italian"
"Luke Matheny","en","English"
"Curt Linda","de","German"
"Yael Hersonski","en","English"
"Sandrine Veysset","fr","French"
"Milos Twilight","en","English"
"Patrick Dickinson","en","English"
"Aaron Goldman","en","English"
"Simon Groß","de","German"
"Bruno Merle","fr","French"
"Aktan Arym Kubat","ky","Kirghiz; Kyrgyz"
"Tulio Demicheli","en","English"
"Ineke Smits","nl","Dutch; Flemish"
"Mark Ruffalo","en","English"
"Metin Erksan","en","English"
"Martin Müller","de","German"
"Phyllis Nagy","en","English"
"Jorge Sánchez-Cabezudo","es","Spanish; Castilian"
"Charles Dennis","en","English"
"Raphael Alvarez","en","English"
"Florin Iepan","en","English"
"D3","en","English"
"Mike Hall","en","English"
"Sajit Warrier","de","German"
"Fabrice Gobert","fr","French"
"Hans-Günther Bücking","de","German"
"Michael Samuels","en","English"
"Magnús Scheving","en","English"
"Teo Konuralp","en","English"
"Claudio Caligari","it","Italian"
"Felice Farina","it","Italian"
"Vincenzo Salemme","it","Italian"
"Alessandro Piva","en","English"
"Daniele Segre","it","Italian"
"Linda Hassani","en","English"
"Francesco Laudadio","it","Italian"
"James Pilkington","en","English"
"David G. Hillier","en","English"
"Abdelkrim Bahloul","en","English"
"Stefan Liberski","fr","French"
"Belkacem Hadjadj","en","English"
"Yuri Grymov","en","English"
"Darragh Byrne","en","English"
"John Pogue","en","English"
"Paul Lovelace","en","English"
"Alan Dossor","en","English"
"Iara Lee","en","English"
"Fabrizio Lazzaretti","it","Italian"
"James Cellan Jones","en","English"
"Jean-Pierre Vergne","en","English"
"Holger Haase","de","German"
"Ji-Seung Han","ko","Korean"
"Saul Bass","en","English"
"Kaspar Munk","da","Danish"
"Jon Shenk","en","English"
"Michael Epstein","en","English"
"Maxime Alexandre","en","English"
"Chris Christenberry","en","English"
"Ritwik Ghatak","bn","Bengali"
"Josh Stewart","en","English"
"Anthony Geffen","en","English"
"Pooja Bhatt","hi","Hindi"
"Adrian Wills","en","English"
"Clio Barnard","en","English"
"Shirish Kunder","en","English"
"Sonia Fritz","es","Spanish; Castilian"
"Alanté Kavaïté","fr","French"
"Marc Ottiker","de","German"
"Niko von Glasow","en","English"
"Dermot Mulroney","en","English"
"Masayuki Kojima","ja","Japanese"
"Jon Else","en","English"
"Eric Stanze","en","English"
"Paul Osborne","en","English"
"Antonio Pietrangeli","it","Italian"
"Christine Carrière","fr","French"
"Jean-Loup Hubert","fr","French"
"Kazuhiko Hasegawa","ja","Japanese"
"Craig McCracken","en","English"
"Alicia Scherson","es","Spanish; Castilian"
"Nick Nevern","en","English"
"Thomas Burstyn","en","English"
"Josh Shelov","en","English"
"Yury Bykov","ru","Russian"
"Brian Crano","en","English"
"Valeri Lonskoy","ru","Russian"
"Yuriy Moroz","ru","Russian"
"Stacey Stewart Curtis","en","English"
"Miha Hočevar","sl","Slovenian"
"Valeria Sarmiento","en","English"
"Claude Duty","fr","French"
"Filipp Yankovsky","ru","Russian"
"Tim Metcalfe","en","English"
"Massimiliano Bruno","it","Italian"
"Paola Randi","it","Italian"
"Michaël Cohen","fr","French"
"Jean-Michel Carré","fr","French"
"Patrick Jean","en","English"
"Joe Cornish","en","English"
"JoBeth Williams","en","English"
"Kristen McGary","en","English"
"David Keating","en","English"
"Leslie Stevens","en","English"
"Aaron J. Salgado","en","English"
"Jim Threapleton","en","English"
"Keith Ingham","en","English"
"Mark Steensland","en","English"
"Fiorella Infascelli","en","English"
"Alankrita Shrivastava","hi","Hindi"
"Pier Ludovico Pavoni","it","Italian"
"Alberto Salvá","pt","Portuguese"
"Fabienne Godet","fr","French"
"Gail Willumsen","en","English"
"Ilppo Pohjola","en","English"
"Oliver Dommenget","de","German"
"Matty Rich","en","English"
"Emma Luchini","ab","Abkhazian"
"Ileana Pietrobruno","en","English"
"Arash T. Riahi","en","English"
"Diego Martínez Vignatti","en","English"
"Jeff Kennedy","en","English"
"Paul Tanter","en","English"
"Daniel Luke Fitch","en","English"
"Christian Philibert","fr","French"
"Coluche","fr","French"
"Michèle Hozer","en","English"
"Anselmo Duarte","pt","Portuguese"
"Raja Amari","fr","French"
"Cam Archer","en","English"
"Jean-Pierre Marois","en","English"
"Stefania Sandrelli","it","Italian"
"Johannes Pinter","en","English"
"Dustin Lance Black","en","English"
"Mathieu Delaporte","fr","French"
"Michel Royer","en","English"
"Agathe Teyssier","fr","French"
"Léa Fehner","fr","French"
"Volfango De Biasi","it","Italian"
"Eduardo De Filippo","it","Italian"
"Leanne Pooley","en","English"
"Gabriele Lavia","it","Italian"
"David Stenn","en","English"
"Daniel Junge","en","English"
"Phan Quang Binh Nguyen","vi","Vietnamese"
"Nathalie Borgers","en","English"
"Gísli Snær Erlingsson","en","English"
"Ivan Sen","en","English"
"Robinson Savary","en","English"
"Carlo Sigon","it","Italian"
"Pierre Barougier","en","English"
"Eric Assous","fr","French"
"Luiz Fernando Carvalho","pt","Portuguese"
"Eduardo Coutinho","pt","Portuguese"
"Emidio Greco","it","Italian"
"Sergey Ginzburg","ru","Russian"
"Milton Alencar","en","English"
"Claude Desrosiers","fr","French"
"Claude Legault","fr","French"
"Peter Askin","en","English"
"Jacques-Yves Cousteau","fr","French"
"Carey Scott","en","English"
"H.P. Mendoza","en","English"
"Julian Grant","en","English"
"Kieran Darcy-Smith","en","English"
"Gergely Fonyó","hu","Hungarian"
"Patrick Timsit","fr","French"
"Matt Eskandari","en","English"
"Joe O'Byrne","es","Spanish; Castilian"
"Laurence Rees","en","English"
"Albert Nerenberg","en","English"
"Sai Paranjape","en","English"
"Deland Nuse","en","English"
"Maryam Keshavarz","en","English"
"Sam Levinson","en","English"
"Rafael J. Salvia","en","English"
"George Veras","en","English"
"Alexandru Solomon","en","English"
"Tristán Bauer","es","Spanish; Castilian"
"Charles Kinnane","en","English"
"Edward Fleming","da","Danish"
"Doug Finelli","en","English"
"Per Blom","no","Norwegian"
"Stellan Olsson","da","Danish"
"Alain de Halleux","fr","French"
"Lasse Jarvi","en","English"
"Nicolas Klotz","fr","French"
"Baran bo Odar","de","German"
"Jim Rowley","en","English"
"Petr Nikolaev","cs","Czech"
"Kern Saxton","en","English"
"Justin Hunt","en","English"
"Danny Ledonne","en","English"
"Thomas Lilti","fr","French"
"Brian Smedley-Aston","en","English"
"Kamal Haasan","ta","Tamil"
"Håkan Lindhé","en","English"
"Kahlil Dreifus Zaarour","en","English"
"Nicholas Jarecki","en","English"
"Pierre-Erwan Guillaume","fr","French"
"Robin Lee","zh","Chinese"
"Laetitia Masson","fr","French"
"David C. Thomas","en","English"
"John DeBellis","de","German"
"Zola Maseko","en","English"
"Shunsuke Tada","ja","Japanese"
"Saara Cantell","fi","Finnish"
"Arto Halonen","fi","Finnish"
"Juan Carlos Valdivia","en","English"
"Lise I. Osvoll","nb","Bokmål, Norwegian; Norwegian Bokmål"
"Julian Caidan","en","English"
"Abhinay Deo","hi","Hindi"
"Dan Bradley","en","English"
"Marc Rensing","de","German"
"Hans Van Nuffel","en","English"
"Jaap van Heusden","en","English"
"Derek Tsang","en","English"
"José Luis Garci","es","Spanish; Castilian"
"Adam Wong","cn",NA
"Béla Ternovszky","en","English"
"Leonard Schrader","en","English"
"Richard Swindell","en","English"
"Craig Zisk","en","English"
"Paul von Stoetzel","en","English"
"Adam Ripp","en","English"
"Heiko van der Scherm","en","English"
"Smita Bhide","en","English"
"Wolfgang Urchs","de","German"
"Kitarô Kôsaka","ja","Japanese"
"Ingo Rasper","de","German"
"Mina Shum","en","English"
"Marcus Lindeen","en","English"
"José Luis Borau","es","Spanish; Castilian"
"John Eldridge","en","English"
"Primo Zeglio","it","Italian"
"Alison Chernick","en","English"
"Toke Constantin Hebbeln","de","German"
"Matthijs van Heijningen Jr.","en","English"
"Jiří Barta","cs","Czech"
"Lavinia Currier","en","English"
"Rick Rowley","en","English"
"Sergey Loznitsa","en","English"
"Markku Tuurna","en","English"
"Lisa Ohlin","sv","Swedish"
"Guido Brignone","it","Italian"
"Miki Mistrati","en","English"
"Habib Azar","en","English"
"Carmen Marron","en","English"
"Michael Keller","en","English"
"P.J. Posner","en","English"
"Beatriz Flores Silva","en","English"
"Christoph Schlingensief","de","German"
"Paul Seydor","en","English"
"Gerald Salmina","en","English"
"Francesco Apolloni","it","Italian"
"Pamela Tola","fi","Finnish"
"Pyotr Buslov","ru","Russian"
"Fyodor Otsep","en","English"
"James V. Kern","en","English"
"Anthony Lover","en","English"
"Joseph Brutsman","en","English"
"Damon Packard","en","English"
"Christian Theede","de","German"
"Bence Miklauzic","en","English"
"Digna Sinke","en","English"
"Alberto Rondalli","it","Italian"
"Ursula Meier","fr","French"
"León Errázuriz","es","Spanish; Castilian"
"Liam Galvin","en","English"
"Jilani Saadi","en","English"
"Bernard Émond","en","English"
"Olivier Masset-Depasse","fr","French"
"Charles Finch","en","English"
"Arnaud Viard","fr","French"
"Yosuke Nakagawa","ja","Japanese"
"Sarik Andreasyan","ru","Russian"
"Vlasta Pospíšilová","en","English"
"Andrea Manni","it","Italian"
"Thierry Binisti","fr","French"
"Xabi Molia","fr","French"
"Kira Muratova","ru","Russian"
"Donovan Marsh","en","English"
"Jasmin Dizdar","en","English"
"Bentley Dean","en","English"
"Raşit Çelikezer","tr","Turkish"
"Lena Einhorn","sv","Swedish"
"Ago Panini","it","Italian"
"Amy Talkington","en","English"
"Sun Zhou","zh","Chinese"
"Satoshi Isaka","ja","Japanese"
"Erwin van den Eshof","nl","Dutch; Flemish"
"Joseph Infantolino","en","English"
"Bruce Webb","en","English"
"Herb Gardner","en","English"
"Jeffrey Donovan","en","English"
"Christoph Stark","de","German"
"Alicja Jaworski","en","English"
"Grant Brown","en","English"
"Nick Stagliano","en","English"
"Ben Hickernell","en","English"
"Andrew Lang","en","English"
"William Brookfield","en","English"
"Mahmoud Kaabour","en","English"
"Sophie Fillières","fr","French"
"Joanna Rubin Dranger","en","English"
"Ione Hernández","es","Spanish; Castilian"
"Laïla Marrakchi","en","English"
"Mário Patrocínio","en","English"
"David Bradley","en","English"
"Márta Mészáros","hu","Hungarian"
"Benjamin Meade","en","English"
"Avishai Sivan","en","English"
"John Laing","en","English"
"Álvaro Brechner","en","English"
"Michael Flynn","en","English"
"Danny Huston","en","English"
"Lodewijk Crijns","en","English"
"Frédéric Rossif","en","English"
"Laure Charpentier","fr","French"
"Lars Lennart Forsberg","sv","Swedish"
"Massimo Coppola","it","Italian"
"René Bonnière","en","English"
"Folco Quilici","it","Italian"
"Hana Makhmalbaf","fa","Persian"
"Fanny Ardant","fr","French"
"Jorge Pelicano","pt","Portuguese"
"Leslie Hope","en","English"
"Richard Harding Gardner","en","English"
"Tom Geens","en","English"
"Inan Temelkuran","tr","Turkish"
"Dan Guntzelman","en","English"
"Handan İpekçi","tr","Turkish"
"Harold F. Kress","en","English"
"Rafa Lara","es","Spanish; Castilian"
"Pierre Laffargue","fr","French"
"Alfonso Paso","es","Spanish; Castilian"
"Patric Chiha","fr","French"
"Ron Davis","en","English"
"Paul Saltzman","en","English"
"Lore Reyes","en","English"
"Raffaello Matarazzo","it","Italian"
"Giulio Questi","it","Italian"
"Jean-Charles Deniau","fr","French"
"Carole Poliquin","fr","French"
"Anton Sivers","en","English"
"Donald P. Bellisario","en","English"
"Barry Shurchin","en","English"
"Stuart McDonald","en","English"
"Fernando Delgado","es","Spanish; Castilian"
"Maciej Slesicki","en","English"
"Luc Pagès","fr","French"
"Florestano Vancini","it","Italian"
"Amanzio Todini","it","Italian"
"Tsuneo Goda","en","English"
"Rory B. Quintos","en","English"
"Manon Briand","en","English"
"Ambrogio Lo Giudice","en","English"
"Alessandro Valori","it","Italian"
"Eugenio Mira","en","English"
"Kim Nguyen","en","English"
"Jean-Claude Labrecque","en","English"
"Jim Wolpaw","en","English"
"Jean-Pierre Denis","fr","French"
"Eric Zala","en","English"
"Christoph Schuch","de","German"
"Marat Rafikov","ru","Russian"
"Tim Hetherington","en","English"
"Roberto Santucci","pt","Portuguese"
"Terry Leonard","en","English"
"Dan Scanlon","en","English"
"Yuen Man Fung","cn",NA
"Merlin Miller","en","English"
"Valia Santella","it","Italian"
"Carol Dysinger","en","English"
"Lola Randl","de","German"
"Boris Giller","en","English"
"Vladimir Basov Jr.","en","English"
"Nanouk Leopold","en","English"
"Yann Arthus-Bertrand","de","German"
"Athina Rachel Tsangari","en","English"
"George Langworthy","en","English"
"Duane Baughman","en","English"
"Erik de Bruyn","nl","Dutch; Flemish"
"Thomas Stiller","de","German"
"Sebastián Borensztein","es","Spanish; Castilian"
"Martín Sastre","es","Spanish; Castilian"
"Ken O'Neill","en","English"
"Mario Costa","it","Italian"
"Elisabetta Rocchetti","it","Italian"
"Verena Fels","de","German"
"Kazuya Sasahara","it","Italian"
"Momoko Ando","ja","Japanese"
"Osman Ali","en","English"
"Kim Young-tak","ko","Korean"
"James Strong","en","English"
"Colin Goh","en","English"
"Kazuto Nakazawa","ja","Japanese"
"Paul Sarossy","en","English"
"Rolf Peter Kahl","de","German"
"Leopoldo Torre Nilsson","es","Spanish; Castilian"
"Hans Kristensen","da","Danish"
"Andrés Ramírez","es","Spanish; Castilian"
"Josh Aronson","en","English"
"Stefano Reali","it","Italian"
"Soopum Sohn","en","English"
"Jannicke Systad Jacobsen","en","English"
"Lodovico Gasparini","it","Italian"
"Rockmond Dunbar","en","English"
"Daniel Auteuil","fr","French"
"Franco Prosperi","it","Italian"
"John Pirozzi","en","English"
"Aleksandr Veledinskiy","ru","Russian"
"Jim Klein","en","English"
"Daniele Costantini","it","Italian"
"Nati Baratz","en","English"
"Bae Yong-kyun","en","English"
"Tigran Keosayan","ru","Russian"
"Roman Prygunov","ru","Russian"
"Jason Hehir","en","English"
"Vera Glagoleva","en","English"
"Norihiro Koizumi","ja","Japanese"
"Christopher Spencer","en","English"
"Paulo Henrique Fontenelle","pt","Portuguese"
"Petra Seeger","de","German"
"Klaus Kinski","it","Italian"
"Giovanni La Parola","it","Italian"
"Viktor Shamirov","en","English"
"Jens Jørgen Thorsen","da","Danish"
"Bastien Jephté","fr","French"
"Igor Ugolnikov","en","English"
"Yuri Pavlov","en","English"
"Avdotya Smirnova","ru","Russian"
"Akan Satayev","ru","Russian"
"Mark Heller","en","English"
"Trevor Noah","en","English"
"Carlos Atanes","en","English"
"Christian Frosch","de","German"
"Cezary Pazura","pl","Polish"
"Kwok-shiu Freddie Wong","cn",NA
"Tommy Davis","en","English"
"Joselito Rodríguez","es","Spanish; Castilian"
"José Díaz Morales","en","English"
"Julián Soler","en","English"
"Stewart Lee","en","English"
"Michael Cordell","en","English"
"Yu-Hsiu Camille Chen","en","English"
"Fred Burnley","en","English"
"Ina Weisse","de","German"
"Javier Recio Garcia","en","English"
"Lee Hae-young","ko","Korean"
"Stanley Fung","cn",NA
"Frankie Chan Fan-Kei","en","English"
"Denis Côté","en","English"
"Debbie Allen","en","English"
"Alessandro Haber","it","Italian"
"Mamoru Hoshi","ja","Japanese"
"Grigori Konstantinopolsky","ru","Russian"
"Daihachi Yoshida","ja","Japanese"
"Boris Mitić","sr","Serbian"
"Max Lemcke","es","Spanish; Castilian"
"John Henry Summerour","en","English"
"Simon Arthur","en","English"
"Andrew Rossi","en","English"
"Andrew James","en","English"
"Damon Russell","en","English"
"Jacques Baratier","fr","French"
"Paul Vecchiali","fr","French"
"Vladan Nikolić","en","English"
"Jordan Vogt-Roberts","en","English"
"Yuriy Kara","ru","Russian"
"Italo Spinelli","it","Italian"
"Maurizio Zaccaro","it","Italian"
"Rita Alcaire","pt","Portuguese"
"Michael Goi","en","English"
"David Herman","en","English"
"Jean-Claude Biette","fr","French"
"Yvon Marciano","fr","French"
"Luc Moullet","en","English"
"Serge Le Péron","fr","French"
"Josh Crook","es","Spanish; Castilian"
"Tony Spiridakis","en","English"
"Marion Milne","en","English"
"Diego Arsuaga","en","English"
"Oleg Assadulin","ru","Russian"
"Johnny O'Reilly","en","English"
"Joe O'Brien","en","English"
"Stefano Mordini","it","Italian"
"Artem Litvinenko","ru","Russian"
"Lori Petty","en","English"
"Vladimir Kaplunovskiy","en","English"
"Viktor Sergeyev","ru","Russian"
"Ivan Pyryev","ru","Russian"
"Michaël R. Roskam","en","English"
"Giuseppe Gagliardi","it","Italian"
"Tom Putnam","en","English"
"Giovanni Albanese","it","Italian"
"Rebecca Zlotowski","fr","French"
"Jean-Claude Guiguet","en","English"
"Conrad Pla","fr","French"
"Andrea Papini","it","Italian"
"Brian Welsh","en","English"
"Jean Marboeuf","fr","French"
"Nat Christian","en","English"
"Ricardo Bocão","en","English"
"Boonsong Nakphoo","th","Thai"
"Erast Garin","en","English"
"Chen Jin","en","English"
"Matthew Chapman","en","English"
"Beppe Grillo","it","Italian"
"Laurieann Gibson","en","English"
"Witthaya Thongyooyong","th","Thai"
"Aleksandr Zguridi","ru","Russian"
"Vyacheslav Sorokin","en","English"
"Johan Jonason","en","English"
"Dawei Li","en","English"
"Michael Rowe","en","English"
"Fernando Merino","es","Spanish; Castilian"
"Elyer Ishmukhamedov","ru","Russian"
"Ilya Frez","en","English"
"Geoffrey O'Connor","en","English"
"Elizabeth Mitchell","en","English"
"Eduard Cortés","en","English"
"Ilya Demichev","ru","Russian"
"Javier Barbera","en","English"
"Aleksandr Chernykh","en","English"
"Eduard Parri","en","English"
"César Martínez Herrada","es","Spanish; Castilian"
"Félix Viscarret","es","Spanish; Castilian"
"Santiago Lorenzo","es","Spanish; Castilian"
"Mercedes Álvarez","en","English"
"Bingjian Liu","zh","Chinese"
"M. Raja","ta","Tamil"
"Bernard Favre","en","English"
"Jacques Rozier","fr","French"
"Yannick Bellon","en","English"
"Vignesh Shivan","ta","Tamil"
"Aron Schock","en","English"
"Miguel Faria Jr.","pt","Portuguese"
"Roberto Dordit","it","Italian"
"Gavriil Yegiazarov","en","English"
"Aleksandr Smirnov","en","English"
"Massimo Cappelli","it","Italian"
"Jacques Davila","fr","French"
"Jacques Fansten","fr","French"
"Charlotte Silvera","fr","French"
"Aline Issermann","en","English"
"Juliet Berto","en","English"
"Henri Herré","fr","French"
"Sophie Letourneur","fr","French"
"Frederic Dieudonné","en","English"
"Viktor Eisymont","en","English"
"Ezhil","ta","Tamil"
"Ivan Živković","en","English"
"Dylan Akio Smith","en","English"
"John Leguizamo","en","English"
"Alla Krinitsyna","en","English"
"Anatoli Mateshko","en","English"
"Vitali Melnikov","ru","Russian"
"Gerardo Naranjo","en","English"
"Garin Nugroho","en","English"
"Richard Pearson","en","English"
"Djo Munga","en","English"
"Hilbert Hakim","en","English"
"Michael Campbell","en","English"
"James Dirschberger","en","English"
"Tony Rogers","en","English"
"Jean Grémillon","en","English"
"Jean-François Stévenin","fr","French"
"René Allio","fr","French"
"Chayanop Bunprakop","th","Thai"
"Päivi Hartzell","fi","Finnish"
"Ciccio Ingrassia","it","Italian"
"Valeri Pendrakovsky","en","English"
"Olli Soinio","fi","Finnish"
"Luca Vendruscolo","it","Italian"
"Peter Pilafian","en","English"
"Matthias Kiefersauer","de","German"
"Emmanuel Laurent","en","English"
"Liliane de Kermadec","fr","French"
"Foued Mansour","en","English"
"Abner Benaim","es","Spanish; Castilian"
"Ahmet Boyacıoğlu","de","German"
"Robbe De Hert","nl","Dutch; Flemish"
"Alessandro Pambianco","it","Italian"
"John Sparey","en","English"
"Men Lareida","en","English"
"Jérôme Bonnell","fr","French"
"Ntshaveni Wa Luruli","en","English"
"Carlo Gabriel Nero","en","English"
"Vladimir Shevelkov","ru","Russian"
"Yuli Gusman","ru","Russian"
"Khuat Akhmetov","en","English"
"Dmitry Fyodorov","en","English"
"Eliane de Latour","fr","French"
"Jacek Filipiak","en","English"
"Alfonso Pineda Ulloa","en","English"
"Eric Woreth","fr","French"
"Roger Leenhardt","fr","French"
"Didier Grousset","fr","French"
"Jean Dréville","fr","French"
"Kenji Nakanishi","ja","Japanese"
"Georg Riha","de","German"
"Ramón Torrado","es","Spanish; Castilian"
"Philippe Ramos","fr","French"
"Jean Rouch","fr","French"
"	Cheung Chi-Sing","en","English"
"Sylvain Madigan","fr","French"
"Stig Larsson","sv","Swedish"
"Matthew Lessner","en","English"
"Stanley Sheff","en","English"
"Rik Kuypers","nl","Dutch; Flemish"
"Yves Lavandier","fr","French"
"Susanne Jäger","de","German"
"Roschdy Zem","fr","French"
"Aleksandr Abdulov","ru","Russian"
"Aleksey Mizgiryov","en","English"
"Igor Gostev","ru","Russian"
"Isa Qosja","sq","Albanian"
"Edouard Niermans","fr","French"
"Luis Marquina","es","Spanish; Castilian"
"Michel Jetté","fr","French"
"Geneviève Lefebvre","fr","French"
"Gabriel Pelletier","fr","French"
"Felix Fuchssteiner","de","German"
"Márcio Garcia","en","English"
"Marco Ricca","pt","Portuguese"
"Züli Aladag","de","German"
"Roberto Moreira","pt","Portuguese"
"Paulo Halm","pt","Portuguese"
"Silvio Amadio","it","Italian"
"Gianfranco Mingozzi","en","English"
"Danièle Dubroux","fr","French"
"Antoine Desrosières","fr","French"
"Bruno Romy","fr","French"
"Robert Pulcini","en","English"
"Gérard Mordillat","fr","French"
"Pierre Blanchar","fr","French"
"Julia Leigh","en","English"
"Erica von Moeller","de","German"
"Brigitte Sy","fr","French"
"Thomas Arslan","de","German"
"Michael Stock","de","German"
"Robert Cibis","de","German"
"Claudio Antonini","it","Italian"
"Myriam Alaux","de","German"
"Kô Nakahira","ja","Japanese"
"Ieroklis Michaelidis","en","English"
"Gavin Wiesen","en","English"
"Nicola Collins","de","German"
"Mikhail Shvejtser","ru","Russian"
"Nikolay Olyalin","en","English"
"John Carchietta","en","English"
"Sadao Nakajima","ja","Japanese"
"Hiroshi Shimizu","ja","Japanese"
"Satyen Bose","en","English"
"Aleksandr Mindadze","ru","Russian"
"Mikhail Ptashuk","ru","Russian"
"Marek Nowicki","pl","Polish"
"Yolande Moreau","en","English"
"Aleksey Batalov","ru","Russian"
"Jack Thomas Smith","en","English"
"Miran Zupanič","en","English"
"Saratswadee Wongsomphet","th","Thai"
"Jens Meurer","en","English"
"Robert Quinn","en","English"
"Kerry Valderrama","en","English"
"Joe Mantello","de","German"
"Renato Pozzetto","it","Italian"
"Jay Anania","en","English"
"Alice Rohrwacher","it","Italian"
"Philip Rosenthal","en","English"
"Eiichi Yamamoto","ja","Japanese"
"Antonio Negret","en","English"
"Tom Forman","en","English"
"Tigmanshu Dhulia","hi","Hindi"
"Maroun Bagdadi","en","English"
"Suzanne Schiffman","fr","French"
"Jean-Pierre Ronssin","fr","French"
"Roger Andrieux","fr","French"
"Pierre Boutron","fr","French"
"Olivier Schatzky","fr","French"
"John Lvoff","fr","French"
"Per Lindberg","sv","Swedish"
"Victor Vũ","vi","Vietnamese"
"Jeanne Waltz","fr","French"
"Ian Kirby","en","English"
"Massimo Ceccherini","it","Italian"
"Emanuela Piovano","it","Italian"
"Drew Bolduc","en","English"
"Jayendra","en","English"
"Michael J. Weithorn","en","English"
"Lyudmila Gurchenko","en","English"
"Sergei Krutin","en","English"
"Igor Maslennikov","ru","Russian"
"Laurie Gwen Shapiro","en","English"
"Valentin Thurn","de","German"
"Quinn Evan Reimann","en","English"
"Vladimir Alenikov","en","English"
"Sergei Loban","en","English"
"Jaap van Eyck","en","English"
"Aleksandr Pavlovskiy","ru","Russian"
"Leonid Filatov","ru","Russian"
"Dennis Berry","en","English"
"Jorge Algora","es","Spanish; Castilian"
"Chris Windsor","en","English"
"Arnaldo Jabor","pt","Portuguese"
